Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,Electronics,Average Revenue per User by Segment,Consumer Electronics,USD (US$),Statista,201,191,187.8,226.4,236.2,187.7,228.6,246,259.9,266.7,275.2
Montenegro,Electronics,Average Revenue per User by Segment,Household Appliances,USD (US$),Statista,129.6,120.6,115.8,105.9,110.6,105.3,118.8,125.4,131.6,131.7,133.1
Montenegro,Electronics,Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Montenegro,Electronics,Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Montenegro,Electronics,Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Montenegro,Electronics,Online & Offline Split,Offline,percent,Statista,84.183,82.09,79.63,73.873,69.919,65.84,62.84,59.165,55.68,,
Montenegro,Electronics,Online & Offline Split,Online,percent,Statista,15.817,17.91,20.37,26.127,30.081,34.16,37.16,40.835,44.32,,
Montenegro,Electronics,Mobile/Desktop Split,Desktop,percent,Statista,54.185,53.243,52.653,52.302,52.088,51.959,51.885,51.842,51.817,,
Montenegro,Electronics,Mobile/Desktop Split,Mobile,percent,Statista,45.815,46.757,47.347,47.698,47.912,48.041,48.115,48.158,48.183,,
Montenegro,Electronics,Users by Segment,Total,million users,Statista,0.084,0.103,0.122,0.144,0.167,0.19,0.209,0.223,0.237,0.254,0.269
Montenegro,Electronics,Users by Segment,Consumer Electronics,million users,Statista,0.081,0.097,0.114,0.131,0.15,0.167,0.182,0.192,0.202,0.214,0.224
Montenegro,Electronics,Users by Segment,Household Appliances,million users,Statista,0.054,0.067,0.083,0.101,0.12,0.14,0.157,0.171,0.184,0.201,0.216
Montenegro,Electronics,Penetration Rate by Segment,Consumer Electronics,percent,Statista,12.913,15.47,18.079,20.897,23.851,26.645,29.017,30.601,32.189,34.099,35.805
Montenegro,Electronics,Penetration Rate by Segment,Electronics,percent,Statista,13.376,16.337,19.477,22.964,26.586,30.219,33.301,35.571,37.835,40.527,43.008
Montenegro,Electronics,Penetration Rate by Segment,Household Appliances,percent,Statista,8.545,10.747,13.215,16.074,19.084,22.257,24.981,27.178,29.379,32.002,34.508
Montenegro,Consumer Electronics,Revenue,Total,million USD (US$),Statista,16.29,18.55,21.32,29.71,35.39,31.4,41.63,47.24,52.47,56.99,61.71
Montenegro,Consumer Electronics,Revenue,Computing,million USD (US$),Statista,2.859,3.256,3.744,4.669,5.609,4.921,6.598,7.421,8.315,8.981,9.702
Montenegro,Consumer Electronics,Revenue,Other Consumer Electronics,million USD (US$),Statista,5.212,5.933,6.817,9.47,11.25,9.979,13.22,15,16.64,18.07,19.56
Montenegro,Consumer Electronics,Revenue,Telephony,million USD (US$),Statista,4.767,5.308,5.998,9.144,10.62,9.668,12.78,14.79,16.36,17.84,19.37
Montenegro,Consumer Electronics,Revenue,"TV, Radio & Multimedia",million USD (US$),Statista,3.34,3.926,4.615,6.231,7.733,6.714,8.92,9.96,11.11,12.06,13.06
Montenegro,Consumer Electronics,Revenue,TV Peripheral Devices,million USD (US$),Statista,0.11,0.127,0.147,0.195,0.172,0.117,0.111,0.077,0.039,0.036,0.027
Montenegro,Consumer Electronics,Revenue Change,Total,percent,Statista,,13.874,14.933,39.353,19.118,-11.274,32.58,13.476,11.071,8.614,8.282
Montenegro,Consumer Electronics,Revenue Change,Computing,percent,Statista,,13.886,14.988,24.706,20.133,-12.266,34.078,12.473,12.047,8.01,8.028
Montenegro,Consumer Electronics,Revenue Change,Other Consumer Electronics,percent,Statista,,13.833,14.9,38.917,18.796,-11.298,32.478,13.464,10.933,8.594,8.246
Montenegro,Consumer Electronics,Revenue Change,Telephony,percent,Statista,,11.349,12.999,52.451,16.142,-8.964,32.189,15.728,10.615,9.046,8.576
Montenegro,Consumer Electronics,Revenue Change,"TV, Radio & Multimedia",percent,Statista,,17.545,17.55,35.016,24.105,-13.177,32.857,11.659,11.546,8.551,8.292
Montenegro,Consumer Electronics,Revenue Change,TV Peripheral Devices,percent,Statista,,16.044,15.632,32.473,-11.949,-31.625,-5.792,-30.669,-48.8,-9.373,-24.536
Montenegro,Consumer Electronics,Average Revenue per User,Total,USD (US$),Statista,201,191,187.8,226.4,236.2,187.7,228.6,246,259.9,266.7,275.2
Montenegro,Consumer Electronics,Average Revenue per User,Computing,USD (US$),Statista,50.41,47.9,47.11,50.83,53.49,42.01,51.75,55.21,58.84,59.15,60.11
Montenegro,Consumer Electronics,Average Revenue per User,Other Consumer Electronics,USD (US$),Statista,80.39,76.36,75.05,90.19,93.89,74.55,90.73,97.65,103,105.7,109
Montenegro,Consumer Electronics,Average Revenue per User,Telephony,USD (US$),Statista,73.53,68.32,66.03,87.09,88.66,72.23,87.71,96.25,101.3,104.3,107.9
Montenegro,Consumer Electronics,Average Revenue per User,"TV, Radio & Multimedia",USD (US$),Statista,103,101,101.6,118.7,129,100.3,122.4,129.7,137.6,139,141.6
Montenegro,Consumer Electronics,Average Revenue per User,TV Peripheral Devices,USD (US$),Statista,4.51,4.368,4.323,4.954,3.822,2.34,2.024,1.331,0.648,0.547,0.388
Montenegro,Consumer Electronics,Comparable Estimates - Consumer Electronics (Worldwide),*Statista,trillion USD (US$),,0.503,0.508,0.522,0.63,0.695,0.548,0.724,0.768,0.839,0.872,0.913
Montenegro,Consumer Electronics,Comparable Estimates - Consumer Electronics (Worldwide),The BRC,trillion USD (US$),,,,,,0.473,0.539,,,,0.825,
Montenegro,Consumer Electronics,Online & Offline Split,Offline,percent,Statista,83.062,81.067,78.717,71.551,67.661,64.022,61.402,57.966,54.823,,
Montenegro,Consumer Electronics,Online & Offline Split,Online,percent,Statista,16.938,18.933,21.283,28.449,32.339,35.978,38.598,42.034,45.177,,
Montenegro,Consumer Electronics,Mobile/Desktop Split,Desktop,percent,Statista,54.296,53.348,52.752,52.378,52.162,52.034,51.961,51.917,51.892,,
Montenegro,Consumer Electronics,Mobile/Desktop Split,Mobile,percent,Statista,45.704,46.652,47.248,47.622,47.838,47.966,48.039,48.083,48.108,,
Montenegro,Consumer Electronics,Users,Total,million users,Statista,0.081,0.097,0.114,0.131,0.15,0.167,0.182,0.192,0.202,0.214,0.224
Montenegro,Consumer Electronics,Users,Computing,million users,Statista,0.057,0.068,0.079,0.092,0.105,0.117,0.128,0.134,0.141,0.152,0.161
Montenegro,Consumer Electronics,Users,Other Consumer Electronics,million users,Statista,0.065,0.078,0.091,0.105,0.12,0.134,0.146,0.154,0.161,0.171,0.179
Montenegro,Consumer Electronics,Users,Telephony,million users,Statista,0.065,0.078,0.091,0.105,0.12,0.134,0.146,0.154,0.161,0.171,0.179
Montenegro,Consumer Electronics,Users,"TV, Radio & Multimedia",million users,Statista,0.032,0.039,0.045,0.052,0.06,0.067,0.073,0.077,0.081,0.087,0.092
Montenegro,Consumer Electronics,Users,TV Peripheral Devices,million users,Statista,0.024,0.029,0.034,0.039,0.045,0.05,0.055,0.058,0.061,0.065,0.069
Montenegro,Consumer Electronics,Penetration Rate,Computing,percent,Statista,9.039,10.829,12.656,14.628,16.696,18.651,20.312,21.421,22.532,24.229,25.774
Montenegro,Consumer Electronics,Penetration Rate,Consumer Electronics,percent,Statista,12.913,15.47,18.079,20.897,23.851,26.645,29.017,30.601,32.189,34.099,35.805
Montenegro,Consumer Electronics,Penetration Rate,Other Consumer Electronics,percent,Statista,10.33,12.376,14.463,16.717,19.081,21.316,23.213,24.481,25.751,27.286,28.657
Montenegro,Consumer Electronics,Penetration Rate,Telephony,percent,Statista,10.33,12.376,14.463,16.717,19.081,21.316,23.213,24.481,25.751,27.286,28.657
Montenegro,Consumer Electronics,Penetration Rate,"TV, Radio & Multimedia",percent,Statista,5.165,6.188,7.232,8.359,9.541,10.658,11.607,12.241,12.876,13.845,14.728
Montenegro,Consumer Electronics,Penetration Rate,TV Peripheral Devices,percent,Statista,3.874,4.641,5.424,6.269,7.155,7.993,8.705,9.18,9.657,10.384,11.046
Montenegro,Household Appliances,Revenue,Total,million USD (US$),Statista,6.949,8.139,9.614,10.69,13.26,14.71,18.63,21.38,24.24,26.42,28.76
Montenegro,Household Appliances,Revenue,Major Appliances,million USD (US$),Statista,3.479,4.083,4.828,5.369,6.66,7.243,9.261,10.69,12.1,13.19,14.36
Montenegro,Household Appliances,Revenue,Other Household Appliances,million USD (US$),Statista,1.362,1.596,1.885,2.096,2.6,2.884,3.654,4.193,4.753,5.18,5.639
Montenegro,Household Appliances,Revenue,Small Appliances,million USD (US$),Statista,2.107,2.46,2.901,3.223,4.001,4.584,5.719,6.499,7.386,8.049,8.76
Montenegro,Household Appliances,Revenue Change,Total,percent,Statista,,17.125,18.123,11.192,24.041,10.935,26.649,14.761,13.377,8.993,8.857
Montenegro,Household Appliances,Revenue Change,Major Appliances,percent,Statista,,17.361,18.246,11.205,24.045,8.754,27.861,15.43,13.19,9.008,8.87
Montenegro,Household Appliances,Revenue Change,Other Household Appliances,percent,Statista,,17.181,18.108,11.194,24.046,10.923,26.699,14.751,13.356,8.984,8.861
Montenegro,Household Appliances,Revenue Change,Small Appliances,percent,Statista,,16.754,17.927,11.1,24.139,14.571,24.76,13.639,13.648,8.976,8.833
Montenegro,Household Appliances,Average Revenue per User,Total,USD (US$),Statista,129.6,120.6,115.8,105.9,110.6,105.3,118.8,125.4,131.6,131.7,133.1
Montenegro,Household Appliances,Average Revenue per User,Major Appliances,USD (US$),Statista,162.2,151.3,145.4,133,138.9,129.6,147.6,156.8,164.2,164.5,166.3
Montenegro,Household Appliances,Average Revenue per User,Other Household Appliances,USD (US$),Statista,127,118.3,113.6,103.8,108.5,103.2,116.5,122.9,129,129.2,130.6
Montenegro,Household Appliances,Average Revenue per User,Small Appliances,USD (US$),Statista,49.12,45.58,43.69,39.91,41.72,41,45.58,47.63,50.11,50.17,50.69
Montenegro,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),*Statista,billion USD (US$),,128.4,145.6,163.7,197.3,233.1,221.4,264.4,291.3,322.3,342.6,365.2
Montenegro,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),Million Insights,billion USD (US$),,,,,316,329.6,,,,,,
Montenegro,Household Appliances,Comparable Estimates - Household Appliances (Worldwide),The BRC,billion USD (US$),,,,307.6,,,,433.4,,,,
Montenegro,Household Appliances,Online & Offline Split,Offline,percent,Statista,86.307,84.054,81.4,78.704,74.644,69.609,65.849,61.712,57.516,,
Montenegro,Household Appliances,Online & Offline Split,Online,percent,Statista,13.693,15.946,18.6,21.296,25.356,30.391,34.151,38.288,42.484,,
Montenegro,Household Appliances,Mobile/Desktop Split,Desktop,percent,Statista,53.922,53.006,52.435,52.092,51.89,51.773,51.706,51.668,51.646,,
