Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,eCommerce,Penetration Rate,Electronics,percent,Statista,12.958,15.419,18.285,21.204,24.124,26.913,29.339,31.058,32.765,34.719,36.482
Morocco,eCommerce,Penetration Rate,Fashion,percent,Statista,14.907,16.596,18.459,20.516,22.532,24.481,26.192,27.613,29.056,30.606,32.071
Morocco,eCommerce,Penetration Rate,Food,percent,Statista,3.751,4.8,6.093,7.221,8.439,9.654,10.717,11.546,12.389,13.296,14.143
Morocco,eCommerce,Penetration Rate,Furniture,percent,Statista,3.926,5.499,7.54,9.628,12.133,14.739,17.106,18.946,20.815,22.777,24.664
Morocco,eCommerce,Penetration Rate,Media,percent,Statista,9.354,12.121,13.401,14.785,16.229,17.414,18.453,19.324,20.209,20.81,21.346
Morocco,eCommerce,Penetration Rate,"Toys, Hobby & DIY",percent,Statista,8.287,10.708,13.748,16.619,20.242,23.897,25.881,27.764,29.642,31.791,33.737
Morocco,Electronics,Users by Age,18-24 years,percent,Statista|Statista Global Consumer Survey,,,,,19.847,,,,,,
Morocco,Electronics,Users by Age,25-34 years,percent,Statista|Statista Global Consumer Survey,,,,,32.316,,,,,,
Morocco,Electronics,Users by Age,35-44 years,percent,Statista|Statista Global Consumer Survey,,,,,25.954,,,,,,
Morocco,Electronics,Users by Age,45-54 years,percent,Statista|Statista Global Consumer Survey,,,,,14.504,,,,,,
Morocco,Electronics,Users by Age,55-64 years,percent,Statista|Statista Global Consumer Survey,,,,,7.38,,,,,,
Morocco,Electronics,Users by Gender,female,percent,Statista|Statista Global Consumer Survey,,,,,27.99,,,,,,
Morocco,Electronics,Users by Gender,male,percent,Statista|Statista Global Consumer Survey,,,,,72.01,,,,,,
Morocco,Electronics,Users by Income,high income,percent,Statista|Statista Global Consumer Survey,,,,,40.176,,,,,,
Morocco,Electronics,Users by Income,low income,percent,Statista|Statista Global Consumer Survey,,,,,26.979,,,,,,
Morocco,Electronics,Users by Income,medium income,percent,Statista|Statista Global Consumer Survey,,,,,32.845,,,,,,
Morocco,Electronics,Revenue,Total,million USD (US$),Statista,384.5,436.4,489.9,653.8,741.9,691,"1,025","1,263","1,557","1,690","1,860"
Morocco,Electronics,Revenue,Consumer Electronics,million USD (US$),Statista,350.7,400.2,450.6,608.3,692.1,636.8,951.6,"1,169","1,437","1,561","1,718"
Morocco,Electronics,Revenue,Household Appliances,million USD (US$),Statista,33.77,36.2,39.25,45.47,49.89,54.26,73.55,93.54,119.8,129.1,142
Morocco,Electronics,Revenue Change,Total,percent,Statista,,13.498,12.259,33.456,13.475,-6.861,48.336,23.22,23.278,8.542,10.059
Morocco,Electronics,Revenue Change,Consumer Electronics,percent,Statista,,14.115,12.594,34.998,13.776,-7.99,49.435,22.846,22.926,8.629,10.058
